ktc_kepler_id,sci_data_set_name,fits,start,end,duration,energy
7869590,KPLR007869590-2012179063303,0078/007869590/kplr007869590-2012179063303_llc.fits,1249.047,1249.2922,0.2452,38.45504832727856
7869590,KPLR007869590-2011271113734,0078/007869590/kplr007869590-2011271113734_llc.fits,959.7082,959.9126,0.2043,37.9912171602081
7869590,KPLR007869590-2010265121752,0078/007869590/kplr007869590-2010265121752_llc.fits,625.761,625.9449,0.1839,37.8116610806412
7869590,KPLR007869590-2010265121752,0078/007869590/kplr007869590-2010265121752_llc.fits,579.8477,580.0112,0.1635,38.019766736756765
7869590,KPLR007869590-2009259160929,0078/007869590/kplr007869590-2009259160929_llc.fits,228.5939,228.7369,0.143,37.76406149590824
7869590,KPLR007869590-2011271113734,0078/007869590/kplr007869590-2011271113734_llc.fits,946.5696,946.7126,0.143,37.54406408643042
7869590,KPLR007869590-2011177032512,0078/007869590/kplr007869590-2011177032512_llc.fits,812.5012,812.6442,0.143,37.40000663977453
7869590,KPLR007869590-2012088054726,0078/007869590/kplr007869590-2012088054726_llc.fits,1100.6956,1100.8386,0.143,37.932647074713394
7869590,KPLR007869590-2009350155506,0078/007869590/kplr007869590-2009350155506_llc.fits,303.6848,303.8073,0.1226,37.21358871221048
7869590,KPLR007869590-2010355172524,0078/007869590/kplr007869590-2010355172524_llc.fits,650.26,650.3826,0.1226,37.42235976512151
7869590,KPLR007869590-2013098041711,0078/007869590/kplr007869590-2013098041711_llc.fits,1554.3837,1554.5063,0.1226,37.50056546006076
7869590,KPLR007869590-2011177032512,0078/007869590/kplr007869590-2011177032512_llc.fits,902.1466,902.2691,0.1225,37.61630347472472
7869590,KPLR007869590-2011271113734,0078/007869590/kplr007869590-2011271113734_llc.fits,964.3875,964.4897,0.1022,37.071959926518815
7869590,KPLR007869590-2009259160929,0078/007869590/kplr007869590-2009259160929_llc.fits,233.2527,233.3548,0.1021,37.69947819974266
7869590,KPLR007869590-2011073133259,0078/007869590/kplr007869590-2011073133259_llc.fits,745.4778,745.5595,0.0817,36.75222673482662
7869590,KPLR007869590-2010174085026,0078/007869590/kplr007869590-2010174085026_llc.fits,508.1452,508.227,0.0817,37.16577865579716
7869590,KPLR007869590-2010174085026,0078/007869590/kplr007869590-2010174085026_llc.fits,494.3112,494.3929,0.0817,36.83782142738492
7869590,KPLR007869590-2010174085026,0078/007869590/kplr007869590-2010174085026_llc.fits,493.1464,493.2282,0.0817,37.412462059627934
7869590,KPLR007869590-2013011073258,0078/007869590/kplr007869590-2013011073258_llc.fits,1444.982,1445.0637,0.0817,37.406483672267214
7869590,KPLR007869590-2012277125453,0078/007869590/kplr007869590-2012277125453_llc.fits,1364.9263,1365.0079,0.0816,37.018275083662814
7869590,KPLR007869590-2010265121752,0078/007869590/kplr007869590-2010265121752_llc.fits,555.0413,555.1027,0.0614,36.66518253056649
7869590,KPLR007869590-2012179063303,0078/007869590/kplr007869590-2012179063303_llc.fits,1204.7452,1204.8065,0.0613,36.72471930446335
7869590,KPLR007869590-2009350155506,0078/007869590/kplr007869590-2009350155506_llc.fits,282.7412,282.8025,0.0613,36.73264321927642
7869590,KPLR007869590-2009350155506,0078/007869590/kplr007869590-2009350155506_llc.fits,342.9363,342.9976,0.0613,36.29710640354351
7869590,KPLR007869590-2013011073258,0078/007869590/kplr007869590-2013011073258_llc.fits,1437.667,1437.7079,0.0409,36.367891093548806
7869590,KPLR007869590-2012179063303,0078/007869590/kplr007869590-2012179063303_llc.fits,1203.1105,1203.1514,0.0409,36.580501670719535
7869590,KPLR007869590-2013011073258,0078/007869590/kplr007869590-2013011073258_llc.fits,1424.2427,1424.2836,0.0409,36.4422530540791
7869590,KPLR007869590-2011177032512,0078/007869590/kplr007869590-2011177032512_llc.fits,867.8579,867.8987,0.0408,36.27395937920854
11554998,KPLR011554998-2009259160929,0115/011554998/kplr011554998-2009259160929_llc.fits,195.8795,196.186,0.3065,39.38049742270216
11554998,KPLR011554998-2012179063303,0115/011554998/kplr011554998-2012179063303_llc.fits,1216.3922,1216.617,0.2248,38.16511651961423
11554998,KPLR011554998-2010078095331,0115/011554998/kplr011554998-2010078095331_llc.fits,419.8076,420.0119,0.2043,38.65455143546284
11554998,KPLR011554998-2009350155506,0115/011554998/kplr011554998-2009350155506_llc.fits,276.7752,276.9387,0.1635,38.59535299964195
11554998,KPLR011554998-2009166043257,0115/011554998/kplr011554998-2009166043257_llc.fits,148.4726,148.6156,0.143,38.04073620511934
11554998,KPLR011554998-2009259160929,0115/011554998/kplr011554998-2009259160929_llc.fits,204.339,204.4616,0.1226,37.79986962069739
11554998,KPLR011554998-2012179063303,0115/011554998/kplr011554998-2012179063303_llc.fits,1269.7052,1269.8074,0.1022,38.070392119783946
11554998,KPLR011554998-2011271113734,0115/011554998/kplr011554998-2011271113734_llc.fits,942.0328,942.1146,0.0818,37.28638227177912
11554998,KPLR011554998-2012004120508,0115/011554998/kplr011554998-2012004120508_llc.fits,1091.2562,1091.2971,0.0409,35.89126020332764
10785446,KPLR010785446-2010174085026,0107/010785446/kplr010785446-2010174085026_llc.fits,513.1919,513.478,0.2861,38.66853691112672
10785446,KPLR010785446-2009259160929,0107/010785446/kplr010785446-2009259160929_llc.fits,202.2141,202.4797,0.2656,38.73981161130722
2585397,KPLR002585397-2011073133259,0025/002585397/kplr002585397-2011073133259_llc.fits,796.541,796.8271,0.2861,38.05113432407907
2585397,KPLR002585397-2011177032512,0025/002585397/kplr002585397-2011177032512_llc.fits,848.5057,848.7918,0.2861,38.54825324844991
2585397,KPLR002585397-2013011073258,0025/002585397/kplr002585397-2013011073258_llc.fits,1427.0426,1427.2468,0.2042,37.71866127073382
2585397,KPLR002585397-2010265121752,0025/002585397/kplr002585397-2010265121752_llc.fits,568.7325,568.9164,0.1839,37.52099167663124
2585397,KPLR002585397-2011271113734,0025/002585397/kplr002585397-2011271113734_llc.fits,996.0598,996.2029,0.1431,37.22453284734963
2585397,KPLR002585397-2009259160929,0025/002585397/kplr002585397-2009259160929_llc.fits,257.7528,257.8346,0.0817,36.559248955029496
2585397,KPLR002585397-2012088054726,0025/002585397/kplr002585397-2012088054726_llc.fits,1133.1637,1133.225,0.0613,35.240732153306595
7943602,KPLR007943602-2011073133259,0079/007943602/kplr007943602-2011073133259_llc.fits,742.1267,742.4128,0.2861,38.52574901272627
7943602,KPLR007943602-2010078095331,0079/007943602/kplr007943602-2010078095331_llc.fits,416.9876,417.2123,0.2248,37.48850832094884
7943602,KPLR007943602-2013011073258,0079/007943602/kplr007943602-2013011073258_llc.fits,1408.4484,1408.6118,0.1634,37.271122765487455
